--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
067.948  061.157  000.043: sourcing /Users/leejaeseok/.config/nvim/init.lua
067.960  001.324: sourcing vimrc file(s)
068.228  000.093  000.093: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/filetype.lua
068.466  000.035  000.035: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/syntax/synload.vim
068.564  000.257  000.222: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/syntax/syntax.vim
068.581  000.272: inits 3
070.465  001.883: reading ShaDa
070.547  000.082: opening buffers
070.559  000.012: BufEnter autocommands
070.560  000.001: editing files in windows
070.596  000.035: --- NVIM STARTED ---

